UnitID,Group,CellType,FR_Before,FR_After,Lower_CI,Upper_CI,ResponseType
cid36,Control,RS,0,0,0,0,No Change
cid70,Control,FS,0,0,0,0,No Change
cid4,Emx,RS,0.177222222222222,3.12722222222222,2.95,2.95,Increased
cid92,Emx,RS,0.0138888888888889,0.0255555555555556,0.0116666666666667,0.0116666666666667,Increased
cid100,Emx,RS,0.0161111111111111,0.0322222222222222,0.0161111111111111,0.0161111111111111,Increased
cid129,Emx,RS,0.0511111111111111,0.0355555555555556,-0.0155555555555556,-0.0155555555555556,Decreased
cid159,Emx,RS,0.344444444444444,1.20944444444444,0.865,0.865,Increased
cid162,Emx,RS,0.00833333333333333,0.296666666666667,0.288333333333333,0.288333333333333,Increased
cid163,Emx,RS,0.00111111111111111,0.0538888888888889,0.0527777777777778,0.0527777777777778,Increased
cid254,Emx,RS,0.00833333333333333,0.0372222222222222,0.0288888888888889,0.0288888888888889,Increased
cid280,Emx,RS,0.0188888888888889,0.0516666666666667,0.0327777777777778,0.0327777777777778,Increased
cid281,Emx,RS,0.0211111111111111,0.0777777777777778,0.0566666666666667,0.0566666666666667,Increased
cid285,Emx,RS,0.00333333333333333,0.0388888888888889,0.0355555555555556,0.0355555555555556,Increased
cid299,Emx,RS,0.0411111111111111,0.101111111111111,0.06,0.06,Increased
cid301,Emx,RS,0.0655555555555556,0.0972222222222222,0.0316666666666667,0.0316666666666667,Increased
cid316,Emx,RS,0.00666666666666667,0.0238888888888889,0.0172222222222222,0.0172222222222222,Increased
cid326,Emx,RS,0.00777777777777778,0.0577777777777778,0.05,0.05,Increased
cid328,Emx,RS,0,0.00777777777777778,0.00777777777777778,0.00777777777777778,Increased
cid337,Emx,RS,0.0555555555555556,0.0827777777777778,0.0272222222222222,0.0272222222222222,Increased
cid351,Emx,RS,0.04,0.108888888888889,0.0688888888888889,0.0688888888888889,Increased
cid353,Emx,RS,0.06,0.131111111111111,0.0711111111111111,0.0711111111111111,Increased
cid367,Emx,RS,0.00111111111111111,0.112222222222222,0.111111111111111,0.111111111111111,Increased
cid377,Emx,RS,0,0.00333333333333333,0.00333333333333333,0.00333333333333333,Increased
cid381,Emx,RS,0.0238888888888889,0.0855555555555556,0.0616666666666667,0.0616666666666667,Increased
cid538,Emx,RS,0.101111111111111,0.0888888888888889,-0.0122222222222222,-0.0122222222222222,Decreased
cid3,Emx,RS,10.3838888888889,7.92888888888889,-2.455,-2.455,Decreased
cid44,Emx,RS,0.0344444444444444,0.0244444444444444,-0.01,-0.01,Decreased
cid114,Emx,RS,0.231111111111111,0.112222222222222,-0.118888888888889,-0.118888888888889,Decreased
cid158,Emx,RS,0.138333333333333,0.0633333333333333,-0.075,-0.075,Decreased
